busco_id,status,sequence,gene_start,gene_end,strand,score,length,line_number,original_start,original_end
8at7147,Complete,OZ005742.1,4429440,4430526,+,406.4,219,1,4429440,4430526
225at7147,Complete,OZ005741.1,23467077,23468342,+,991.2,419,2,23467077,23468342
284at7147,Complete,OZ005743.1,193057062,193061064,-,404.7,182,3,193061064,193057062
421at7147,Complete,OZ005741.1,63968502,63968993,-,287.1,162,4,63968993,63968502
445at7147,Complete,OZ005741.1,10766012,10775380,+,729.8,338,5,10766012,10775380
452at7147,Complete,OZ005740.1,333968298,334030326,+,1260.6,620,6,333968298,334030326
511at7147,Complete,OZ005743.1,183486971,183492547,-,444.8,220,7,183492547,183486971
525at7147,Complete,OZ005744.1,207659261,207659575,+,164.1,81,8,207659261,207659575
540at7147,Complete,OZ005740.1,214497242,214497922,-,324.0,202,9,214497922,214497242
836at7147,Complete,OZ005744.1,4331071,4332953,+,1248.2,541,10,4331071,4332953
841at7147,Complete,OZ005743.1,187907950,187909037,-,536.1,283,11,187909037,187907950
908at7147,Complete,OZ005741.1,64646969,64647710,-,372.9,172,12,64647710,64646969
962at7147,Complete,OZ005740.1,46825117,46829685,-,486.9,323,13,46829685,46825117
994at7147,Complete,OZ005743.1,142206659,142207370,-,383.5,194,14,142207370,142206659
1004at7147,Complete,OZ005740.1,20127687,20128751,+,499.4,302,15,20127687,20128751
1049at7147,Complete,OZ005741.1,15627720,15637508,-,855.4,406,16,15637508,15627720
1055at7147,Complete,OZ005743.1,147628688,147629764,+,609.1,336,17,147628688,147629764
1072at7147,Complete,OZ005741.1,230725422,230731091,+,651.8,357,18,230725422,230731091
1078at7147,Complete,OZ005740.1,44412402,44413359,-,574.6,273,19,44413359,44412402
1123at7147,Complete,OZ005743.1,208986529,208989833,-,646.3,377,20,208989833,208986529
1142at7147,Complete,OZ005743.1,151029201,151141834,+,298.1,146,21,151029201,151141834
1200at7147,Complete,OZ005742.1,17585787,17589630,+,413.0,200,22,17585787,17589630
1247at7147,Complete,OZ005741.1,225789420,225790960,-,971.3,480,23,225790960,225789420
1323at7147,Complete,OZ005742.1,241651112,241658853,+,360.9,159,24,241651112,241658853
1690at7147,Complete,OZ005744.1,19458139,19486944,+,1177.0,629,25,19458139,19486944
1854at7147,Complete,OZ005742.1,17550142,17551642,+,749.5,414,26,17550142,17551642
1907at7147,Complete,OZ005742.1,17837163,17838566,-,363.4,189,27,17838566,17837163
1914at7147,Complete,OZ005740.1,219333682,219334950,-,465.7,398,28,219334950,219333682
1984at7147,Complete,OZ005740.1,349515372,349516550,-,290.8,151,29,349516550,349515372
2041at7147,Complete,OZ005740.1,229832468,229833112,+,346.2,209,30,229832468,229833112
2067at7147,Complete,OZ005743.1,115913547,115947931,+,672.8,377,31,115913547,115947931
2304at7147,Duplicated,OZ005740.1,11467821,11468249,+,178.8,109,32,11467821,11468249
2304at7147,Duplicated,OZ005742.1,2206989,2207312,+,152.3,107,33,2206989,2207312
2306at7147,Complete,OZ005743.1,187432195,187433689,-,853.2,394,34,187433689,187432195
2332at7147,Complete,OZ005740.1,326107887,326109019,-,550.2,269,35,326109019,326107887
2339at7147,Complete,OZ005743.1,69541976,69543239,+,515.9,289,36,69541976,69543239
2552at7147,Complete,OZ005742.1,61489432,61558816,-,1236.8,652,37,61558816,61489432
2609at7147,Complete,CAWVNZ010000254.1,18245,28361,-,337.0,172,38,28361,18245
2610at7147,Complete,OZ005744.1,14521868,14524209,+,405.0,218,39,14521868,14524209
2635at7147,Complete,OZ005740.1,346881906,346883800,-,455.8,289,40,346883800,346881906
2697at7147,Complete,OZ005740.1,327465610,327471277,+,1156.1,561,41,327465610,327471277
2709at7147,Complete,OZ005744.1,7726033,7762981,+,1105.7,510,42,7726033,7762981
2727at7147,Complete,OZ005740.1,325916133,325917799,+,933.6,490,43,325916133,325917799
2881at7147,Complete,OZ005740.1,279985131,279985694,+,233.9,163,44,279985131,279985694
2904at7147,Complete,OZ005743.1,175167018,175171509,-,1052.7,549,45,175171509,175167018
2908at7147,Complete,OZ005743.1,114909210,114931844,-,2143.4,1110,46,114931844,114909210
2969at7147,Complete,OZ005742.1,39979025,39988417,+,1396.2,661,47,39979025,39988417
3120at7147,Complete,OZ005744.1,96362494,96362847,-,134.7,69,48,96362847,96362494
3219at7147,Complete,OZ005742.1,171004935,171041542,+,979.4,478,49,171004935,171041542
3282at7147,Complete,OZ005743.1,142786458,142786950,-,257.2,147,50,142786950,142786458
3308at7147,Complete,OZ005742.1,6543996,6544838,-,308.7,247,51,6544838,6543996
3333at7147,Complete,OZ005740.1,51308402,51315008,-,731.3,496,52,51315008,51308402
3410at7147,Complete,OZ005743.1,66837989,66889047,-,559.0,299,53,66889047,66837989
3413at7147,Complete,OZ005741.1,194653314,194654346,-,659.6,325,54,194654346,194653314
3474at7147,Complete,OZ005741.1,56027393,56028241,+,397.5,240,55,56027393,56028241
3577at7147,Complete,OZ005743.1,166182003,166182459,+,231.0,125,56,166182003,166182459
3788at7147,Complete,OZ005740.1,236339681,236340295,+,336.2,185,57,236339681,236340295
3828at7147,Complete,OZ005740.1,13068373,13071792,+,385.8,187,58,13068373,13071792
3874at7147,Complete,OZ005740.1,21382933,21391224,-,313.9,147,59,21391224,21382933
4069at7147,Complete,OZ005743.1,164820387,164826051,-,395.3,268,60,164826051,164820387
4073at7147,Complete,OZ005742.1,2026250,2027934,+,1004.7,511,61,2026250,2027934
4095at7147,Complete,OZ005743.1,187266435,187269090,+,721.9,371,62,187266435,187269090
4164at7147,Complete,OZ005741.1,302940511,302947194,-,228.9,117,63,302947194,302940511
4211at7147,Complete,OZ005740.1,45001446,45001781,-,146.8,108,64,45001781,45001446
4218at7147,Complete,OZ005741.1,68726014,68730589,-,832.4,434,65,68730589,68726014
4274at7147,Complete,OZ005744.1,166982978,166985827,-,991.3,576,66,166985827,166982978
4353at7147,Complete,OZ005740.1,23753932,23770374,-,1017.9,507,67,23770374,23753932
4421at7147,Complete,OZ005743.1,89381124,89403185,+,893.4,520,68,89381124,89403185
